,index,ident,year,country,year1,countryyear,country3,year11,gdpg,gdp,bb,infl,sacw,govc,ethnf,assas,icrge,m2_1,ssa,easia,lpop,egypt,centam,frz,arms_1,dn1900,eda,beda,meda,wbeda,popdep,lgdp,bb100,infl100,ethnf100,ethnfassas,year2,year3,year4,year5,year6,year7,yearid,policy,edapolicy,eda2policy,gambia6,lgdp2
10,137.0,20.0,4.0,BOLIVIA,1978-81,BOL4,BOL,1.0,-1.4852887480084176,2015.0,-6.336720295809665,23.602461040535072,0.5,13.220397061634918,68.0,0.25,2.270833,15.854101634708712,0.0,0.0,15.48149986670712,0.0,0.0,0.0,1.15,0.0,1.1824050660241676,0.7822307419535774,0.40017432407059017,0.031845561000716,86.48303333333334,7.608374474380783,-0.06336720295809666,0.23602461040535072,0.68,0.17,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.5925702084363158,1.8830630824542645,2.226543328337007,0.0,7.415175109613295
11,138.0,20.0,5.0,BOLIVIA,1982-85,BOL5,BOL,2.0,-4.315007737274601,1864.0,-35.808239976801644,238.20747860924544,0.0,17.848160590067973,68.0,0.0,2.270833,19.03046532097448,0.0,0.0,15.568434773073502,0.0,0.0,0.0,5.975,0.0,1.4394795733676964,1.020839357417611,0.41864021595008566,0.03145195268163255,88.4782,7.530479995245536,-0.3580823997680164,2.3820747860924545,0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-4.503405143352211,-6.48255971445453,-9.331512292093624,0.0,7.415175109613295
12,139.0,20.0,6.0,BOLIVIA,1986-89,BOL6,BOL,3.0,-0.6470254840308165,1674.0,-0.4012795202094124,43.777885455733326,1.0,12.26896408732749,68.0,0.0,2.270833,18.19739835679411,0.0,0.0,15.653703845930558,0.0,0.0,0.0,0.85,0.0,3.1075494091093074,1.8841453974389182,1.223404011670389,0.3649383957213384,,7.422971251049421,-0.004012795202094124,0.4377788545573333,0.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.7950825558621495,8.685857144881155,26.99173023818329,0.0,7.415175109613295
13,140.0,20.0,7.0,BOLIVIA,1990-93,BOL7,BOL,4.0,1.9494735338123403,1658.0,-1.5479344870804146,13.700904294759386,1.0,12.069947679880007,68.0,0.25,2.270833,14.905733566639853,0.0,0.0,15.738972039186685,0.0,0.0,0.0,1.625,0.0,3.3419770087471603,2.3515576457622718,0.9904193629848882,0.271564788418078,89.3586,7.4133673356952405,-0.015479344870804147,0.13700904294759386,0.68,0.17,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.1370942815951737,10.48409696336326,35.037611009035935,0.0,7.415175109613295
14,144.0,21.0,4.0,BOTSWANA,1978-81,BWA4,BWA,8.0,8.787622457257838,1620.0,-0.04119631310618267,11.936287058965323,0.75,20.758604826447055,51.0,0.0,7.0,29.818357105612876,1.0,0.0,13.69965600533856,0.0,0.0,0.0,0.9,0.0,6.3613770303020205,5.185147476922647,1.176229553379374,0.011632145895571476,102.8785,7.3901814282264295,-0.0004119631310618267,0.11936287058965324,0.51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.7257512702538995,17.339531520909713,110.3032975333129,0.0,6.71295620067707
15,145.0,21.0,5.0,BOTSWANA,1982-85,BWA5,BWA,1.0,6.410942004783249,1980.0,10.722365281008003,9.134107163839289,1.0,25.86395461183774,51.0,0.0,7.0,30.254923870352645,1.0,0.0,13.838566466030572,0.0,0.0,0.0,1.275,0.0,4.56144145631111,3.5487716462345484,1.0126698100765612,-0.06029118254249851,98.148275,7.590852123688581,0.10722365281008002,0.09134107163839289,0.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.040843778048794,18.43207232766858,84.07681884115227,0.0,6.71295620067707
16,146.0,21.0,6.0,BOTSWANA,1986-89,BWA6,BWA,2.0,7.249000760966551,2662.0,17.857412844865383,9.464337677597555,1.0,24.369807338942305,51.0,0.0,7.0,27.931611986635406,1.0,0.0,13.975185948434232,0.0,0.0,0.0,0.425,0.0,4.441169773624199,3.4443029921273967,0.9968667814968019,-0.021704959963463003,93.0894,7.8868329989550565,0.17857412844865383,0.09464337677597555,0.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.52462089702808,20.09460956498952,89.24357261281115,0.0,6.71295620067707
17,149.0,22.0,2.0,BRAZIL,1970-73,BRA2,BRA,5.0,8.58053168074191,2434.0,-0.289917373484871,16.44983238715305,0.0,10.88636321670843,7.0,0.0,6.359375,18.43949644288668,0.0,0.0,18.41452382899062,0.0,0.0,0.0,2.067,1.0,0.06875222187078148,0.06678346748230196,0.0019687543884795255,-0.002247203168347745,82.229175,7.797291273547472,-0.00289917373484871,0.16449832387153052,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0281733391466512,0.07068920153463282,0.004860039667777462,0.0,7.797291273547472
18,150.0,22.0,3.0,BRAZIL,1974-77,BRA3,BRA,6.0,4.540615181609464,3458.0,-0.06589992553984858,30.286765425044404,0.0,10.084264273003356,7.0,0.0,6.359375,19.116516012602883,0.0,0.0,18.509654984930094,0.0,0.0,0.0,1.225,1.0,0.02901829986252462,0.031860846757097196,-0.00284254689457258,-0.005218924017916732,77.26682500000001,8.148445666243235,-0.0006589992553984858,0.30286765425044404,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.8500559400423365,0.02466717816806877,0.0007157995728433402,0.0,7.797291273547472
19,151.0,22.0,4.0,BRAZIL,1978-81,BRA4,BRA,7.0,1.2154902327142114,3886.0,-1.8059045235032256,51.856397101396425,0.0,9.478138657197825,7.0,0.0,6.359375,15.96846871448481,0.0,0.0,18.60199554413691,0.0,0.0,0.0,0.7,1.0,0.015846300072538316,0.01446999896429123,0.0013763011082470861,-0.0016595055595110572,72.42117499999999,8.265135629937385,-0.018059045235032257,0.5185639710139642,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.42939191877100114,0.0068042731935682825,0.00010782255480081157,0.0,7.797291273547472
