Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4416853629888,3.09356412995886,2.12401672956404,0.984236031842983,1.26822838858183,0.472734961120683,1.50511848149259,0.195615272412152,4.33914751028483,8.51384223329086,20.3211768269215,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124.211656060412,145.75768800478,105.255693018058,91.6491879436912,67.4013024586656,50.5928203111395,58.5583132309991,49.8784799151827,55.083237167167,47.6010689885992,46.8999612837397,55.7793411312522,59.8304554101412,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.35874876412012,2.13548123762658,2.26945988719139,97.5462862788807,61.387683897563,34.0735136802343,21.0505944893542,20.8882727392454,20.1762663037165,24.115106269962,33.9241069244837,51.0434956791908,23.3781999193525,16.6923602150368,16.6312238771685,15.2517380546429,10.3023908774052,8.86809455352066,7.82286678361793,5.68458191704319,5.10502187396277,5.41264423006556,5.81401339132806,5.41515464114751,5.64497193784955,4.38323205293902,4.28420069581471,6.26281944287994,3.00027369285946,2.57038187791523,4.69746701534237,0.356302009840724,4.905777589402,7.24803421784832,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.43653285403032,1.79696426931253,0.918960459401437,1.40982980113533,1.09257084581083,0.905385171983788,0.669573489913686,0.884597711327951,1.31213349601714,1.4205427991398,2.11761996553016,1.6236576952318,1.34506231143933,2.66435657764817,1.9841594380173,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11500563274861,0.742633196568146,1.01338890522494,0.586238680074282,0.548968830522528,0.361879450039758,0.293202375411537,0.209974076411199,0.275867192083964,0.202496413032116,0.101774007486153,0.225176149590681,0.268935805724688,0.219645724230243,0.28881050108046,0.453839104546953,0.437472199456521,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.01108146559262,6.83368310598111,6.6549501324644,5.03140015313351,5.07472653580176,6.38655233848397,6.52966928812429,7.11602768989725,7.51291608422955,11.8753156247302,9.67910595363629,7.68019767021675,5.68771004421597,5.86362893729347,5.45845605086505,4.05421891058983,3.4140900005232,4.74018738607922,4.68216489369195,8.69992742194674,2.15969486873209,0.723164393410777,0.752991348907931,0.644483285946623,0.489793497127749,0.538860177624234,0.358588072364357,0.430941130726672,0.475017976157885,0.373437036884916,0.862936106351322,0.660441553003337,0.620028312702908,0.476271709272949,0.0689650034675961,0.539027349880289,0.927515201165735,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.2272729873657,7.25806432385599,4.06947887269202,4.0500736377025,6.01864178552133,3.12105914833868,2.71774184319281,1.26677396408794,1.35135137319456,1.52564567369916,1.61384646801814,2.66679907950906,1.12552952252762,1.18699996762275,1.78629600954397,1.11237562689619,0.706633632271347,0.918848133836117,0.481960866609648,0.774964377225696,0.862835252643452,1.9051456301728,1.92041252439301,1.7690180921151,1.61873556068486,2.57836824345394,0.967257784371498,0.292775617478879,1.08520121399058,0.367769118898587,0.493654487578674,0.589664410907514,0.552957253330349,2.72466977391739,2.23044781804828,0.278953993126306,0.205248977679377,0.255102956703751,0.155428482975847,0.0173231536817527,0.969233136290002,1.42460293837589,2.12307452429514,3.338323478431,0.574331123617831,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.347215380793196,0.290448332263838,0.277116405900823,0.269597563015103,0.273017065473941,0.223279792852711,0.242875965830326,0.281761609110554,0.263904575838036,0.346423205664876,0.629550488539953,0.660096567637524,1.10176303531966,1.50962186904045,1.31015270902911,1.58075340891004,1.10779160537041,0.891781371040174,0.46898455419629,0.422893300171481,0.305178447366066,0.201978362556494,0.141318459570262,0.177281126585724,0.155214574276573,0.387515960985393,0.414755551744598,0.394979350890106,0.238419359285032,0.202244321014496,0.208911446873376,0.133139444518647,0.150804798804455,0.182630007903031,0.151360943552103,0.0909327931900159,0.178839480151326,0.0327971538560206,0.0512972853789494,-0.0207165161082121,0.00289704997455614,-0.00106647216205731,0.0655219760180425,0.00980865727246481,0.152579714831101,0.181215318241321,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.9676235802089,42.7623802183897,28.5012685238914,31.0959971268883,16.3272599396875,18.5895074169153,22.2129378934944,20.9467869775031,18.8244424328904,23.4072021873006,15.6231975359982,12.7513791137494,6.84920891870468,7.09477011806975,8.1188934253654,5.36958730729616,9.12978405878265,6.24652571604372,6.68628153082326,4.64595335842598,4.63126559939655,4.32877806706449,7.12528490639168,6.43604057661094,4.11024492454783,1.91921518694723,4.9899559689882,2.34044207939711,2.31045618953947,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7212572307292,6.26425100031258,4.12337015032169,4.65832707919927,4.06054775882287,1.58402022790887,1.84115686625049,1.42859806390348,0.982635372927833,1.26314922005247,0.753989026832642,0.911673393611428,0.533310412237674,-0.441605943867394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
